Key,Date,mmdd,DayOfTheWeek,Area,Distance,Timestamp,Tip,OrderAmount,TipPercent,Housing,GenderOfTipper,Cash/Credit_Tip,Cash/Credit_Order,GenderOfDeliverer,PersonWhoDelivered,Area(text),Latitude,Longitude,month
472,42307,1030,Friday,3,3.2,0.951388889,1,16.24,0.061576355,Business,Female,Credit,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Oct
473,42233,817,Monday,2,3.3,0.950694444,2,30.16,0.066312997,Hotel,Male,Credit,Credit,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
474,42204,719,Sunday,9,2.4,0.949305556,4.04,21.96,0.183970856,Apartment,Male,Cash,Cash,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Jul
475,42259,912,Saturday,6,2.1,0.947916667,5,23.66,0.211327134,House,Female,Credit,Credit,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
476,42232,816,Sunday,3,3.1,0.946527778,2,15.71,0.127307447,House,Female,Credit,Credit,Male,Angel,Garden City,43.633857,-116.24628,Aug
477,42232,816,Sunday,9,0.0789,0.946527778,5.54,24.46,0.226492232,Apartment,Male,Cash,Cash,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
478,42274,927,Sunday,3,2.7,0.946527778,2.23,52.77,0.042258859,House,Female,Cash,Cash,Male,Angel,Garden City,43.633857,-116.24628,Sep
479,42286,1009,Friday,1,3.6,0.945833333,6,24.59,0.244001627,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Oct
480,42217,801,Saturday,6,1.1,0.944444444,5,24.01,0.208246564,House,Male,Credit,Credit,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
481,42273,926,Saturday,6,1.3,0.944444444,2,15.27,0.130975769,House,Male,Cash,Cash,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
482,42286,1009,Friday,9,0.4,0.944444444,2.1,18.9,0.111111111,Apartment,Male,Cash,Cash,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
483,42216,731,Friday,2,2.2,0.943055556,2,10.41,0.192122959,House,Female,Credit,Credit,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Jul
484,42259,912,Saturday,9,0.4,0.943055556,5,24.19,0.206696982,Apartment,Male,Credit,Credit,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Sep
485,42251,904,Friday,1,1.7,0.942361111,3.35,14.65,0.228668942,Business,Female,Cash,Cash,Female,Sammie,North End,43.633105,-116.208304,Sep
486,42210,725,Saturday,1,1,0.940972222,0,22.87,0,House,Female,-,Cash,Female,Sammie,North End,43.633105,-116.208304,Jul
487,42265,918,Friday,6,0.3,0.940277778,2.17,20.83,0.104176668,Apartment,Male,Cash,Cash,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Sep
488,42265,918,Friday,7,2.3,0.939583333,5,34.03,0.14692918,House,Male,Credit,Credit,Female,Sammie,West of Gary/Glennwood,43.672328,-116.286124,Sep
489,42267,920,Sunday,9,0.2,0.939583333,0,17.16,0,Apartment,Male,-,Cash,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Sep
490,42287,1010,Saturday,2,3.5,0.939583333,1.69,17.31,0.097631427,Hotel,Male,Cash,Cash,Male,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
491,42233,817,Monday,9,0.5,0.938888889,3,37.1,0.080862534,Apartment,Female,Credit,Credit,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
492,42232,816,Sunday,6,1,0.938194444,7,36.37,0.192466318,House,Female,Credit,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
493,42233,817,Monday,7,3,0.938194444,5,17.17,0.291205591,Apartment,Male,Credit,Credit,Female,Sammie,West of Gary/Glennwood,43.672328,-116.286124,Aug
494,42239,823,Sunday,7,3.9,0.9375,2.69,17.31,0.155401502,Apartment,Male,Cash,Cash,Female,Sammie,West of Gary/Glennwood,43.672328,-116.286124,Aug
495,42254,907,Monday,1,3.1,0.9375,3,25.86,0.116009281,House,Male,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Sep
496,42261,914,Monday,9,0.5,0.9375,3,13.95,0.215053763,Apartment,Female,Credit,Credit,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Sep
497,42204,719,Sunday,9,1.1,0.936805556,3.19,22.81,0.139850943,House,Male,Cash,Cash,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Jul
498,42267,920,Sunday,1,3.3,0.936805556,1.5,12.54,0.119617225,Apartment,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Sep
499,42267,920,Sunday,1,3.6,0.936111111,2.75,15.44,0.178108808,House,Male,Cash,Credit,Female,Sammie,North End,43.633105,-116.208304,Sep
500,42267,920,Sunday,1,4.1,0.935416667,4,21.53,0.185787274,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Sep
501,42225,809,Sunday,1,3.1,0.934722222,3,24.04,0.124792013,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Aug
502,42213,728,Tuesday,1,2.8,0.934027778,4.94,22.06,0.223934723,House,Female,Cash,Cash,Male,Angel,North End,43.633105,-116.208304,Jul
503,42253,906,Sunday,3,2.2,0.934027778,4,18.37,0.217746326,Apartment,Male,Credit,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Sep
504,42307,1030,Friday,4,2.1,0.934027778,6,28.51,0.210452473,House,Male,Credit,Credit,Female,Sammie,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Oct
505,42244,828,Friday,2,2.8,0.933333333,2,15.97,0.125234815,House,Male,Credit,Credit,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
506,42213,728,Tuesday,1,1.9,0.932638889,4,20.33,0.196753566,House,Female,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Jul
507,42254,907,Monday,2,3.2,0.931944444,3.91,16.09,0.24300808,Apartment,Male,Cash,Cash,Male,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
